Style-Fabric-Color,Gender,Birth Season,Comm. Category SubGroup,new,vip,revenue
ABITO DONNA TESSUTO-PRINT BACKGROUND WHITE,Female,Spring / Summer 2017,RTW,0,1,4387.845825
ABITO DONNA TESSUTO-Red,Female,Fall / Winter 2017-2018,RTW,1,0,571.2863312
ABITO DONNA TESSUTO-red + print,Female,Spring / Summer 2018,RTW,19,1,71719.45459
ABITO DONNA TESSUTO-Turchese,Female,Fall / Winter 2017-2018,RTW,3,0,887.6340332
ABITO DONNA TESSUTO-White,Female,Spring / Summer 2018,RTW,6,0,4872.104401
ABITO DONNA TESSUTO+CINTURA-Black + Print,Female,Spring / Summer 2018,RTW,33,2,162308.7744
ABITO DONNA TESSUTO+CINTURA-Gold + Print,Female,Spring / Summer 2018,RTW,14,1,80972.00073
ABITO DONNA TESSUTO+CINTURA-rose + print,Female,Spring / Summer 2018,RTW,12,1,66987.14313
ABITO DONNA TESSUTO+RICAMO-light blue + print,Female,Spring / Summer 2018,RTW,0,0,2189.617432
ABITO MAGLIA DONNA-Black,Female,Fall / Winter 2017-2018,RTW,3,0,6533.412048
ABITO MAGLIA DONNA-Black,Female,Spring / Summer 2018,RTW,9,2,19480.87071
ABITO MAGLIA DONNA-Black - White,Female,Spring / Summer 2018,RTW,1,0,7612.435303
ABITO MAGLIA DONNA-multicolor,Female,Spring / Summer 2018,RTW,1,0,4820.042358
ABITO-BABY BLUE-MULT,Female,Spring / Summer 2018,RTW,3,0,3190.47464
ABITO-BIANCO COPPER,Female,Fall / Winter 2017-2018,RTW,2,0,1147.808594
ABITO-BLUE PINK-BLUE,Female,Spring / Summer 2018,RTW,5,0,3181.85675
ABITO-blue/blue/mult,Female,Spring / Summer 2018,RTW,1,0,1019.684555
ABITO-CORAL GOLD,Female,Spring / Summer 2018,RTW,3,0,1308.684898
ABITO-PINK MULT,Female,Spring / Summer 2018,RTW,8,0,2031.605492
ABITO-PINK PINK-BLUE,Female,Spring / Summer 2018,RTW,7,0,2018.449738
ABITO-WHITE CORAL-PINK,Female,Spring / Summer 2018,RTW,4,0,1184.467911
ABITO-White- gold,Female,Spring / Summer 2018,RTW,1,0,1320.365234
ABITO-White- White- Yellow-Silver,Female,Spring / Summer 2018,RTW,4,0,1064.37748
ABITO-WHITE-GOLD,Female,Spring / Summer 2018,RTW,5,0,4903.844009
ABITO-WHITE-ROYAL,Female,Spring / Summer 2018,RTW,3,0,1098.159492
ABITO-White-White Print Pink-White Print Pink,Female,Spring / Summer 2018,RTW,2,0,1697.00296
ABITO-White-Yellow,Female,Spring / Summer 2018,RTW,7,0,2798.239883
ANELLO METALLO + STRASS-Crystal Gold,Female,Spring / Summer 2018,FASHION JEWELRY,4,0,2415.177261
ANELLO METALLO + STRASS-Tribute Gold- Crystal,Female,Spring / Summer 2018,FASHION JEWELRY,4,0,2660.118294
ANELLO METALLO + STRASS-White-Gold,Female,Spring / Summer 2010,FASHION JEWELRY,4,0,4146.843414
ANELLO METALLO-Gold,Female,Spring / Summer 2016,FASHION JEWELRY,1,0,1762.129242
ANELLO METALLO-Gold,Male,Spring / Summer 2015,FASHION JEWELRY,7,0,9215.254059
